"district_ID","time.y","gap"
1,"2016-01-22-46",3.33333333333333
1,"2016-01-22-58",3.54166666666667
1,"2016-01-22-70",3.40625
1,"2016-01-22-82",3.13419117647059
1,"2016-01-22-94",3.2578781512605
1,"2016-01-22-106",3.7951276664512
1,"2016-01-22-118",3.94894823313941
1,"2016-01-22-130",4.51227633021534
1,"2016-01-22-142",4.81393872519834
1,"2016-01-24-58",4.52892116936594
1,"2016-01-24-70",4.6440964138745
1,"2016-01-24-82",4.74346329148972
1,"2016-01-24-94",4.70291074831756
1,"2016-01-24-106",4.81971189670819
1,"2016-01-24-118",4.79972990316393
1,"2016-01-24-130",4.86738887802434
1,"2016-01-24-142",4.90069211921777
1,"2016-01-26-46",4.77303321977497
1,"2016-01-26-58",4.8440444740334
1,"2016-01-26-70",4.86151907615126
1,"2016-01-26-82",4.84351274400974
1,"2016-01-26-94",4.85948515453116
1,"2016-01-26-106",4.88589813784946
1,"2016-01-26-118",4.88928730207176
1,"2016-01-26-130",4.97816480772685
1,"2016-01-26-142",4.98794008824813
1,"2016-01-28-58",5.03250805050703
1,"2016-01-28-70",4.98893946801539
1,"2016-01-28-82",4.98094923327121
1,"2016-01-28-94",4.9654064516727
1,"2016-01-28-106",5.07473808457954
1,"2016-01-28-118",5.08057106011534
1,"2016-01-28-130",5.1663979712077
1,"2016-01-28-142",5.32368253539904
1,"2016-01-30-46",5.57045618193193
1,"2016-01-30-58",5.51560966055625
1,"2016-01-30-70",5.4217591509971
1,"2016-01-30-82",5.42009073934307
1,"2016-01-30-94",5.41235900794411
1,"2016-01-30-106",5.47081962456787
1,"2016-01-30-118",5.48894009841513
1,"2016-01-30-130",5.48628771037396
1,"2016-01-30-142",5.57818291520107
2,"2016-01-22-46",5.50897341114887
2,"2016-01-22-58",5.42638340990714
2,"2016-01-22-70",5.352012835794
2,"2016-01-22-82",5.28029835361348
2,"2016-01-22-94",5.21609387830928
2,"2016-01-22-106",5.15821887580569
2,"2016-01-22-118",5.10810090151182
2,"2016-01-22-130",5.05493516111494
2,"2016-01-22-142",5.01730932939446
2,"2016-01-24-58",4.95372594483255
2,"2016-01-24-70",4.88767626556811
2,"2016-01-24-82",4.83237919658687
2,"2016-01-24-94",4.77874341293983
2,"2016-01-24-106",4.70683175894084
2,"2016-01-24-118",4.65261483630934
2,"2016-01-24-130",4.5999406716389
2,"2016-01-24-142",4.55274138357924
2,"2016-01-26-46",4.51471687904877
2,"2016-01-26-58",4.4660961401451
2,"2016-01-26-70",4.43022481029611
2,"2016-01-26-82",4.38777866581909
2,"2016-01-26-94",4.34272927323592
2,"2016-01-26-106",4.32072858776253
2,"2016-01-26-118",4.28489338717516
2,"2016-01-26-130",4.23930941497117
2,"2016-01-26-142",4.20533064488406
2,"2016-01-28-58",4.17906860373009
2,"2016-01-28-70",4.13982640709339
2,"2016-01-28-82",4.09815030232399
2,"2016-01-28-94",4.06075145826117
2,"2016-01-28-106",4.01109997346298
2,"2016-01-28-118",3.97240769076076
2,"2016-01-28-130",3.93774983973765
2,"2016-01-28-142",3.88852796674092
2,"2016-01-30-46",3.85560949791308
2,"2016-01-30-58",3.82034477689558
2,"2016-01-30-70",3.78883563734532
2,"2016-01-30-82",3.76095912867854
2,"2016-01-30-94",3.7277741951902
2,"2016-01-30-106",3.70398546674378
2,"2016-01-30-118",3.6749281207661
2,"2016-01-30-130",3.64928952882775
2,"2016-01-30-142",3.61853708897808
3,"2016-01-22-46",3.5883826132366
3,"2016-01-22-58",3.57803880049014
3,"2016-01-22-70",3.57876131026876
3,"2016-01-22-82",3.55527667604616
3,"2016-01-22-94",3.52956968129047
3,"2016-01-22-106",3.52012571012239
3,"2016-01-22-118",3.50304139467872
3,"2016-01-22-130",3.47595602307038
3,"2016-01-22-142",3.45445635962852
